epoch,stage,train_loss,val_loss,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,roc_auc,tn,fp,fn,tp,learning_rate
1,head,0.6484637928229792,0.5767019664247831,0.7291666666666666,0.65625,0.4375,0.875,0.6363636363636364,0.5185185185185185,0.7724609375,28,4,9,7,0.001
2,head,0.5449913770512298,0.48208987216154736,0.7083333333333334,0.75,0.875,0.625,0.5384615384615384,0.6666666666666666,0.873046875,20,12,2,14,0.001
3,head,0.5122622005917408,0.48210261513789493,0.7083333333333334,0.734375,0.8125,0.65625,0.5416666666666666,0.65,0.849609375,21,11,3,13,0.001
4,head,0.5183852891679164,0.45425253237287205,0.7291666666666666,0.734375,0.75,0.71875,0.5714285714285714,0.6486486486486487,0.875,23,9,4,12,0.001
5,head,0.4819665533249025,0.45881908014416695,0.7291666666666666,0.734375,0.75,0.71875,0.5714285714285714,0.6486486486486487,0.86328125,23,9,4,12,0.001
6,fine,0.4616232902087547,0.46299826353788376,0.7916666666666666,0.75,0.625,0.875,0.7142857142857143,0.6666666666666666,0.85546875,28,4,6,10,0.0001
7,fine,0.3871664724968098,0.44404342646400136,0.7708333333333334,0.78125,0.8125,0.75,0.6190476190476191,0.7027027027027027,0.865234375,24,8,3,13,0.0001
8,fine,0.4196465841873928,0.44584426532189053,0.75,0.75,0.75,0.75,0.6,0.6666666666666666,0.87890625,24,8,4,12,0.0001
9,fine,0.3592507058271655,0.4536932744085789,0.75,0.75,0.75,0.75,0.6,0.6666666666666666,0.890625,24,8,4,12,0.0001
10,fine,0.35623106236259144,0.4027775103847186,0.7916666666666666,0.78125,0.75,0.8125,0.6666666666666666,0.7058823529411765,0.88671875,26,6,4,12,0.0001
11,fine,0.39955348259320966,0.44174128274122876,0.75,0.734375,0.6875,0.78125,0.6111111111111112,0.6470588235294118,0.8671875,25,7,5,11,0.0001
12,fine,0.36445054115244635,0.3989160433411598,0.8333333333333334,0.8125,0.75,0.875,0.75,0.75,0.896484375,28,4,4,12,0.0001
13,fine,0.3138734848686942,0.38672396664818126,0.8125,0.796875,0.75,0.84375,0.7058823529411765,0.7272727272727273,0.888671875,27,5,4,12,0.0001
14,fine,0.4044777786842099,0.38366468374927837,0.75,0.75,0.75,0.75,0.6,0.6666666666666666,0.896484375,24,8,4,12,0.0001
15,fine,0.40510626123459254,0.3779577761888504,0.8333333333333334,0.796875,0.6875,0.90625,0.7857142857142857,0.7333333333333333,0.904296875,29,3,5,11,0.0001
16,fine,0.3536387593657882,0.3689418211579323,0.7916666666666666,0.796875,0.8125,0.78125,0.65,0.7222222222222222,0.923828125,25,7,3,13,0.0001
17,fine,0.39744556853892626,0.3924623541533947,0.8125,0.8125,0.8125,0.8125,0.6842105263157895,0.7428571428571429,0.9150390625,26,6,3,13,0.0001
