rank,feature,importance,abs_loading_PC1,importance_pct
1,int_skew,0.11847792521735984,0.10240103551558133,2.175904531244188
2,int_delta_perilesional,0.11756540213683928,0.11168141410602232,2.15914560250597
3,wav_L1_HL_kurt,0.11740966397018154,0.17156381444728475,2.156285395578
4,wav_L2_HH_kurt,0.11679449634804133,0.15554451663666058,2.144987543982153
5,wav_L1_HH_kurt,0.11528383766749122,0.18763239857006567,2.117243564990776
6,wav_L2_LH_energy,0.11449926711753611,0.16890518199532123,2.1028345465040315
7,int_kurtosis,0.11442834709215494,0.06530888964855086,2.1015320658579557
8,wav_L1_LL_kurt,0.11423984751981187,0.06052263271229088,2.098070179832805
9,glcm_correlation_d4,0.11377463048661376,0.19394344642614414,2.0895262434945323
10,glcm_contrast_d4,0.11351451698813438,0.16401008703301842,2.0847491329995544
11,wav_L2_HL_kurt,0.11347029832480628,0.09397984686654147,2.083937035811621
12,wav_L2_LL_kurt,0.11088881378650761,0.05025918303518383,2.0365268208376857
13,wav_L1_LH_energy,0.11086589937623319,0.1947584165874451,2.036105986584761
14,wav_L1_LH_kurt,0.1107718772713125,0.13361471947922346,2.0343792250487303
15,wav_L1_LH_entropy,0.11059861660694506,0.2048840494659026,2.031197208955928
16,wav_L2_HH_entropy,0.11010345667913744,0.1949019955742951,2.0221033568427136
17,morph_area_relative,0.10968124886073166,0.18649345833851533,2.0143493055837096
18,morph_irregularity,0.10949211363863043,0.11554315489408634,2.0108757455426054
19,morph_circularity,0.10949211363863043,0.11554315489408631,2.0108757455426054
20,wav_L2_LH_entropy,0.10938240709698953,0.21457241562355614,2.0088609317228525
21,glcm_homogeneity_d1,0.10938051216488344,0.10692826466341211,2.0088261303761166
22,wav_L1_HL_entropy,0.10817927075978692,0.20353690309408456,1.986764749644876
23,wav_L2_HL_entropy,0.10753448570525431,0.20162889619560545,1.974922959545479
24,morph_perimeter_px,0.10753168419112949,0.2101763111865498,1.9748715083804846
25,glcm_correlation_d1,0.10735659563837087,0.16375591438883044,1.9716559222312713
26,wav_L2_LH_kurt,0.10654852327944622,0.07601346077512768,1.9568152816298128
27,glcm_contrast_d1,0.10584653705235225,0.15778342694727762,1.9439229642668736
28,wav_L1_HH_energy,0.10209006913166663,0.18740176785065804,1.8749336098778784
29,glcm_entropy_d4,0.10127374391932864,0.039558641325,1.8599414016227425
30,wav_L2_HL_energy,0.10103261353688688,0.16480468427928305,1.8555129252562537
31,wav_L2_LL_entropy,0.1008634617966434,0.2241891003515401,1.8524063715468742
32,wav_L1_LL_entropy,0.10050819172859876,0.22542897386195382,1.8458816645227127
33,wav_L1_HH_entropy,0.1003953461047673,0.20697208153749794,1.8438091999367952
34,wav_L2_HH_energy,0.10026003659550269,0.19374974765897232,1.8413241752050642
35,morph_extent,0.10014083893421573,0.10936250812464,1.839135052371995
36,glcm_entropy_d1,0.10009581932707366,0.03096745738469993,1.8383082454626443
37,morph_solidity,0.09884417599240633,0.10650391373143499,1.8153212088614565
38,wav_L1_HL_energy,0.09879818293329305,0.16892035574883815,1.8144765240347536
39,wav_L1_LL_energy,0.0987695577190134,0.03204483074998903,1.8139508080978424
40,wav_L2_LL_energy,0.09749945295160452,0.02723804364202328,1.790624718334794
41,glcm_homogeneity_d4,0.09736184097452565,0.054798117078832746,1.7880974076654856
42,morph_aspect_ratio_wh,0.0965027008481842,0.010056704961549723,1.77231888275926
43,int_mean,0.09476983821455419,0.03862144952854035,1.7404940204516035
44,wav_L1_LL_mean,0.09407502941847286,0.034494793713303044,1.7277335200886197
45,wav_L2_LL_mean,0.09265521573240876,0.027094753047792505,1.7016579534599705
46,int_std,0.09205476919536407,0.00012179193641273511,1.6906304617282537
47,wav_L1_LH_mean,0.09087333116051574,0.1267399596191522,1.6689327794917146
48,int_contrast_lesion_bg,0.09006018021366732,0.0370874673942862,1.653998868161085
49,wav_L2_LH_mean,0.08645627165291787,0.06548395537519118,1.5878113403736267
50,wav_L2_HL_mean,0.07996883648941251,0.056695164738604586,1.4686664486773306
51,wav_L1_HH_mean,0.07648228964526169,0.05025806171490175,1.404634325708728
52,wav_L1_HL_mean,0.0732626824567615,0.04239656481416605,1.3455046789206744
53,wav_L2_HH_mean,0.06678961852399949,0.04219724834138993,1.2266237218437317
